               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10537,            0.026241,                   0,           0.0024113,             0.49819,           0.0049291,           0.0011588,            0.081237,            0.017347,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.082458,            0.019878,                   0,             0.30067,             0.14801,             0.14545,            0.043963,             0.07131,             0.01305,                   0,            0.040464,           0.0063734,           0.0063734
                   2,            0.074666,             0.01859,                   0,              0.5243,              0.2852,             0.31897,             0.10157,            0.069115,            0.011731,                   0,            0.010027,           0.0092692,           0.0092692
                   3,            0.067222,            0.019083,                   0,             0.58444,             0.44765,             0.51874,             0.19735,            0.055518,            0.011671,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.056955,            0.018505,                   0,             0.62502,             0.47292,             0.54163,             0.22422,            0.054996,            0.010092,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.051697,            0.016764,                   0,             0.41647,             0.57401,              0.4491,              0.1663,            0.051047,           0.0092994,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.048751,            0.014621,                   0,             0.70086,             0.60052,             0.70113,             0.34344,            0.049625,           0.0078799,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.045051,            0.013048,                   0,             0.70604,             0.74007,              0.7788,             0.37313,            0.039175,           0.0076333,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.043183,            0.013405,                   0,             0.89905,              0.8359,             0.89959,             0.42581,            0.039396,           0.0069292,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.041393,            0.011777,                   0,              0.8793,              0.8917,             0.90594,             0.49527,             0.03778,           0.0061573,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.039775,            0.010953,                   0,             0.91479,             0.93013,             0.95009,             0.50978,             0.03489,           0.0059179,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.037891,           0.0093871,                   0,             0.92644,             0.90253,             0.95134,             0.51138,            0.033755,           0.0057048,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.037244,           0.0097998,                   0,             0.90945,             0.87016,              0.9192,             0.47316,             0.03549,           0.0059515,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.036614,           0.0093624,                   0,             0.91922,             0.90379,             0.94069,             0.53027,            0.034089,           0.0056105,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.033893,           0.0090566,                   0,             0.91914,              0.9278,             0.94547,             0.56393,            0.032094,           0.0053343,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.03359,           0.0087429,                   0,             0.91871,              0.9278,             0.94066,              0.5147,            0.034035,           0.0051985,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.033317,             0.00875,                   0,             0.92073,              0.9644,             0.96122,             0.55535,            0.029245,            0.005131,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.03348,           0.0090532,                   0,             0.91763,             0.94946,             0.94905,             0.56621,            0.029172,           0.0050743,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.031339,           0.0081909,                   0,             0.92551,             0.95307,             0.96027,             0.59625,            0.028296,           0.0049994,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.030972,           0.0089654,                   0,             0.92654,             0.95615,             0.96757,             0.60012,            0.027741,           0.0049994,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.029464,           0.0085103,                   0,             0.93163,             0.93464,             0.96184,             0.61788,            0.026707,           0.0049812,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.029374,           0.0081942,                   0,             0.91892,             0.95668,             0.97147,             0.61798,            0.025356,           0.0048606,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.028539,           0.0081356,                   0,             0.90361,             0.98146,             0.97226,             0.63261,            0.024786,           0.0047609,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.027743,           0.0076275,                   0,             0.93368,             0.93863,             0.97484,             0.64482,            0.023905,           0.0047621,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.027459,           0.0076809,                   0,             0.93813,             0.93065,             0.97792,             0.65442,            0.023638,           0.0047114,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.026832,           0.0077026,                   0,             0.92373,             0.96751,             0.97198,             0.65743,            0.023938,           0.0046131,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.026577,            0.007749,                   0,             0.93656,             0.95936,             0.97767,             0.66427,            0.023175,           0.0045559,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.026555,           0.0078682,                   0,             0.92195,             0.97834,             0.98101,             0.68223,            0.022914,            0.004505,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.026584,           0.0079906,                   0,             0.92064,             0.96326,             0.97285,             0.67071,            0.022845,           0.0045749,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.025264,           0.0074274,                   0,             0.92995,              0.9586,             0.97717,             0.67906,            0.022283,           0.0045988,                   0,             0.00076,             0.00076,             0.00076
